"sexo","edad","nivel","cond_act","p3_1","p3_2","p3_5","p5","p6_1","p6_2","p6_3","p6_4","p6_5","p11","p25","p35","year","p12_info","p12_prac","p12_entr"
2,38,2,1,1,2,2,3,2,2,2,1,2,0,0,1,2020,2,2,2
2,25,4,7,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
1,32,3,1,2,1,2,0,0,0,0,0,0,3,0,1,2020,1,2,2
1,38,4,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,26,2,1,1,1,1,2,2,1,1,2,2,4,1,1,2020,2,2,1
2,30,2,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,2,1
2,65,2,1,1,1,2,5,2,2,1,2,2,5,0,1,2020,2,2,1
2,42,3,1,1,2,2,2,2,1,2,2,2,0,0,1,2020,2,2,2
1,34,4,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,43,3,1,1,2,1,3,2,2,2,2,1,0,3,1,2020,2,2,2
2,42,5,1,1,2,1,4,2,1,2,1,1,0,1,1,2020,2,2,2
2,31,4,1,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,35,5,1,1,1,1,4,2,1,2,1,2,3,3,1,2020,1,2,2
1,26,4,3,2,2,1,0,0,0,0,0,0,0,3,1,2020,2,2,2
2,29,2,1,2,1,2,0,0,0,0,0,0,4,0,2,2020,1,2,2
1,50,1,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,25,4,1,1,2,1,3,2,2,2,1,1,0,4,1,2020,2,2,2
1,20,3,6,1,2,1,3,2,2,2,1,2,0,2,1,2020,2,2,2
2,60,3,1,2,1,2,0,0,0,0,0,0,4,0,1,2020,2,2,1
1,75,2,8,1,2,2,4,2,2,1,2,2,0,0,1,2020,2,2,2
2,35,3,1,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
1,18,4,6,2,1,2,0,0,0,0,0,0,3,0,1,2020,2,2,1
1,62,2,4,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,32,4,1,1,2,2,4,2,2,2,1,2,0,0,1,2020,2,2,2
2,33,3,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,56,4,2,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
2,66,2,7,2,2,2,0,0,0,0,0,0,0,0,1,2020,2,2,2
